FUNCTION PROFILE: 3-Jun-2018 12:17:27.854 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
     8863           0   CodeTools.SetDifference(-=)
      112           0   Thread.RunningThread
       98           0   CliBuffer.CalcType
       30           0   Thread.Interrupt
       29           0   Base.ctor
       29           0   FunctionGuard.ctor
       29           0   MsgBuffer.ctor
       29           0   MsgBuffer.operator new
       29           0   Object.ctor
       29           0   Q1Way.Enq
       29           0   Q1Way.Size
       29           0   StreamRequest.ctor
       29           0   SysThread.Interrupt
       29           0   Thread.EnqMsg
       29           0   Thread.MakeUnpreemptable
       28           0   FunctionGuard.dtor
       28           0   ObjectPool.DeqBlock
       28           0   Pooled.ctor
       28           0   Q1Way.Deq
       28           0   Thread.MakePreemptable
       19           0   CliBuffer.FindNextNonBlank
       17           0   FileRequest.ctor
       17           0   FileThread.Spool(stream)
       16           0   CliIncrement.FindCommand
       13           0   CliThread.Flush
       13           0   FileThread.Spool(string)
       13           0   SysMutex.Release
       12           0   CliStack.FindCommand
       12           0   CoutThread.Spool(stream)
       12           0   Thread.EnterBlockingOperation
       12           0   Thread.LogContextSwitch
       11           0   CliBuffer.GetStr
       11           0   Thread.ResumeLocked
        9           0   SysMutex.Acquire
        9           0   Thread.InitialMsecs
        9           0   ThreadAdmin.WarpFactor
        8           0   LibrarySet.Release
        7           0   Registry.Size
        7           0   SymbolRegistry.FindSymbol
        6           0   CliBuffer.Echo
        6           0   CliBuffer.GetLine
        6           0   CliBuffer.ScanLine
        6           0   CliCookie.Advance
        6           0   CliCookie.Initialize
        6           0   CliStack.Top
        6           0   CliText.AccessParm
        6           0   CliThread.EndOfInput
        6           0   CliThread.InvokeCommand
        6           0   CliThread.ParseCommand
        6           0   CliThread.SetResult
        6           0   CoutThread.Spool(string)
        6           0   Symbol.SetValue
        6           0   SymbolRegistry.EnsureSymbol
        3           0   CliBuffer.GetInt
        3           0   CliCommand.GetIntParmRc
        3           0   CliIntParm.GetIntParmRc
        3           0   CliParm.GetIntParm
        3           0   CliThread.Report
        3           0   CliThread.Report1
        3           0   Interpreter.SkipBlanks
        2           0   CliBuffer.Read
        2           0   CliCommand.GetTextParmRc
        2           0   CliParm.GetTextIndex
        2           0   CliTextParm.Descend
        2           0   CliTextParm.GetTextParmRc
        2           0   CliThread.ReadCommands
        2           0   Interpreter.GetToken
        2           0   Registry.Empty
        2           0   SysFile.CreateIstream
        1           0   CliBuffer.GetSymbol
        1           0   CliBuffer.PutLine
        1           0   CliCommand.GetStringRc
        1           0   CliParm.GetString
        1           0   CliTextParm.GetStringRc
        1           0   CliThread.Execute
        1           0   CliThread.OpenInputFile
        1           0   CodeFileSet.Sort
        1           0   CodeFileSet.SortInBuildOrder
        1           0   DelayCommand.ProcessCommand
        1           0   IfCommand.ProcessCommand
        1           0   Interpreter.ApplyOperator
        1           0   Interpreter.CheckExpr
        1           0   Interpreter.Evaluate
        1           0   Interpreter.HandleToken
        1           0   Interpreter.ctor
        1           0   Interpreter.dtor
        1           0   Library.EnsureVar
        1           0   Library.Evaluate
        1           0   Library.FindVar
        1           0   LibraryCommand.Evaluate
        1           0   Memory.Alloc
        1           0   Memory.Free
        1           0   NtTestData.Access
        1           0   NtTestData.Conclude
        1           0   Object.operator delete
        1           0   ReadCommand.ProcessCommand
        1           0   SortCommand.ProcessCommand
        1           0   StopCommand.ProcessCommand
        1           0   SysHeap.Alloc
        1           0   SysHeap.Free
        1           0   Temporary.ctor
        1           0   Temporary.operator new
        1           0   TestcaseCommand.ProcessCommand
        1           0   TestcaseCommand.ProcessSubcommand
        1           0   TraceBuffer.SetTool
        1           0   TraceBuffer.StopTrace

Total functions: 106
