FUNCTION PROFILE: 3-Jun-2018 12:22:32.005 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       12           0   Thread.RunningThread
       11           0   SysHeap.Free
        9           0   Memory.Free
        4           0   Object.operator delete
        4           0   SysMutex.Release
        3           0   Base.ctor
        3           0   Counter.dtor
        3           0   Object.ctor
        3           0   Statistic.dtor
        3           0   StatisticsRegistry.UnbindStat
        3           0   SysMutex.Acquire
        2           0   FunctionGuard.ctor
        2           0   FunctionGuard.dtor
        2           0   LeakyBucketCounter.dtor
        2           0   Log.Spool
        2           0   LogThread.Spool
        2           0   MsgBuffer.ctor
        2           0   MsgBuffer.operator new
        2           0   ObjectPool.DeqBlock
        2           0   Pooled.ctor
        2           0   Q1Way.Deq
        2           0   Q1Way.Enq
        2           0   Q1Way.Size
        2           0   Registry.Erase
        2           0   StreamRequest.ctor
        2           0   SysThread.Interrupt
        2           0   Thread.EnqMsg
        2           0   Thread.Interrupt
        2           0   Thread.LogContextSwitch
        2           0   Thread.MakePreemptable
        2           0   Thread.MakeUnpreemptable
        2           0   Thread.ResumeLocked
        1           0   Exception.ctor
        1           0   Exception.dtor
        1           0   LeakyBucketCounter.HasReachedLimit
        1           0   Log.Create
        1           0   ObjectPool.EnqBlock
        1           0   Pooled.operator delete
        1           0   RecoveryTestThread.Destroy
        1           0   RecoveryTestThread.Enter
        1           0   RecoveryTestThread.dtor
        1           0   SignalException.ctor
        1           0   SignalException.dtor
        1           0   Singleton.Destroy
        1           0   Singletons.UnbindInstance
        1           0   SysThread.Delete
        1           0   SysThread.DeleteSentry
        1           0   SysThread.dtor
        1           0   SysThreadStack.Display
        1           0   SysTime.ctor(now)
        1           0   Thread.EnterBlockingOperation
        1           0   Thread.ExitSwLog
        1           0   Thread.ExtendTime
        1           0   Thread.InitialMsecs
        1           0   Thread.Raise
        1           0   Thread.SetSignal
        1           0   Thread.dtor
        1           0   ThreadAdmin.WarpFactor
        1           0   ThreadPriv.dtor

Total functions: 59
